,Titles,Years
0,Tumor-associated macrophages trigger MAIT cell dysfunction at the HCC invasive margin.,2023
1,A conserved family of immune effectors cleaves cellular ATP upon viral infection.,2023
2,An ethical framework for human embryology with embryo models.,2023
3,Insights and strategies for improving equity in graduate school admissions.,2023
4,"RNA ""COURIERs"": Enabling synthetic cell-to-cell communication in human cells.",2023
5,The calvaria stands alone: Unique aspects of the skull bone marrow-meninges border.,2023
6,Herpes simplex virus gene therapy for dystrophic epidermolysis bullosa (DEB).,2023
7,Adaptive evolution of the enigmatic Takakia now facing climate change in Tibet.,2023
8,Distinct molecular profiles of skull bone marrow in health and neurological disorders.,2023
9,Repeat polymorphisms underlie top genetic risk loci for glaucoma and colorectal cancer.,2023
10,Structural basis for membrane-proximal proteolysis of substrates by ADAM10.,2023
11,Central-cell-produced attractants control fertilization recovery.,2023
12,A natural gene drive system confers reproductive isolation in rice.,2023
13,Modeling epigenetic lesions that cause gliomas.,2023
14,Ultrafast distant wound response is essential for whole-body regeneration.,2023
15,Single-cell spatial transcriptome reveals cell-type organization in the macaque cortex.,2023
16,Engineering RNA export for measurement and manipulation of living cells.,2023
17,An antibiotic from an uncultured bacterium binds to an immutable target.,2023
18,A pan-cancer single-cell panorama of human natural killer cells.,2023
19,Epigenetic memory of coronavirus infection in innate immune cells and their progenitors.,2023
20,Brain-wide representations of behavior spanning multiple timescales and states in C. elegans.,2023
21,Pan-cancer proteogenomics connects oncogenic drivers to functional states.,2023
22,Archival single-cell genomics reveals persistent subclones during DCIS progression.,2023
23,The projection-specific signals that establish functionally segregated dopaminergic synapses.,2023
24,Pan-cancer analysis of post-translational modifications reveals shared patterns of protein regulation.,2023
25,Atlas of the aging mouse brain reveals white matter as vulnerable foci.,2023
26,A neural circuit for male sexual behavior and reward.,2023
27,A membrane-associated MHC-I inhibitory axis for cancer immune evasion.,2023
28,Snapshot: Choroid plexus brain barrier.,2023
29,Sparse and stereotyped encoding implicates a core glomerulus for ant alarm behavior.,2023
30,Enveloped viruses pseudotyped with mammalian myogenic cell fusogens target skeletal muscle for gene delivery.,2023
31,Large-scale snake genome analyses provide insights into vertebrate development.,2023
32,Proteogenomic analysis of chemo-refractory high-grade serous ovarian cancer.,2023
33,Dual pathogenicity island transfer by piggybacking lateral transduction.,2023
34,A widely distributed gene cluster compensates for uricase loss in hominids.,2023
35,PIEZO2 in somatosensory neurons controls gastrointestinal transit.,2023
36,DRG afferents that mediate physiologic and pathologic mechanosensation from the distal colon.,2023
37,Neurokinin 3 receptor antagonism for menopausal hot flashes.,2023
38,Unveiling TMEM106B: SARS-CoV-2's secret entrance to the cell.,2023
39,Toward imaging of alpha-synuclein with PET.,2023
40,Targeting of multiple tumor-associated antigens by individual T cell receptors during successful cancer immunotherapy.,2023
41,Mechanism of orphan subunit recognition during assembly quality control.,2023
42,Orphan quality control shapes network dynamics and gene expression.,2023
43,A chloroplast protein atlas reveals punctate structures and spatial organization of biosynthetic pathways.,2023
44,Development of an α-synuclein positron emission tomography tracer for imaging synucleinopathies.,2023
45,TMEM106B is a receptor mediating ACE2-independent SARS-CoV-2 cell entry.,2023
46,Humanized mouse liver reveals endothelial control of essential hepatic metabolic functions.,2023
47,Molecular mechanism for Tn7-like transposon recruitment by a type I-B CRISPR effector.,2023
48,Cooperative assembly confers regulatory specificity and long-term genetic circuit stability.,2023
49,Chromosome-level organization of the regulatory genome in the Drosophila nervous system.,2023
50,Mapping Systemic Inflammation and Antibody Responses in Multisystem Inflammatory Syndrome in Children (MIS-C).,2023
51,Innate immune sensing by cGAS-STING in animals reveals unexpected messengers.,2023
52,Dyes illuminate live human embryogenesis.,2023
53,Asian Americans in STEM are not a monolith.,2023
54,Respiratory syncytial virus Prefusion F vaccine.,2023
55,Vaccine-boosted CAR T crosstalk with host immunity to reject tumors with antigen heterogeneity.,2023
56,Human embryo live imaging reveals nuclear DNA shedding during blastocyst expansion and biopsy.,2023
57,Dispersal patterns and influence of air travel during the global expansion of SARS-CoV-2 variants of concern.,2023
58,Functional viromic screens uncover regulatory RNA elements.,2023
59,Dynamic mapping of proteome trafficking within and between living cells by TransitID.,2023
60,cGLRs are a diverse family of pattern recognition receptors in innate immunity.,2023
