,brand,price,originalpr,colour,shoetype,bargain
0,Nike Sportswear,129.95,129.95,white/summit white,trainers,0.0
1,Pier One,34.99,34.99,white,trainers,0.0
2,adidas Originals,119.95,119.95,footwear white/core black/granit,trainers,0.0
3,Zign,64.99,64.99,black,pumps,0.0
4,Anna Field,33.99,39.99,white,pumps,6.0
5,Nike Sportswear,103.95,129.95,white,trainers,25.999999999999986
6,Nike Sportswear,129.99,129.99,coconut milk campfire orange pale vanilla fir,trainers,0.0
7,Nike Sportswear,119.95,119.95,"white, beige",trainers,0.0
8,Nike Sportswear,99.99,99.99,coconut milk campfire orange sail rugged orange,trainers,0.0
9,Nike Sportswear,129.99,129.99,metallic silver black/white metallic silver,trainers,0.0
10,Nike Sportswear,129.95,129.95,"grey, white, black",trainers,0.0
11,Tamaris,69.95,69.95,nut,slip-ons,0.0
12,Pier One,16.99,19.99,dark grey,slip-ons,3.0
13,New Balance,119.95,119.95,sea salt,trainers,0.0
14,New Look,24.99,29.99,tan,pumps,5.0
15,Jordan,129.95,129.95,white/black,trainers,0.0
16,Vans,67.95,84.95,black/white,trainers,17.0
17,Anna Field,42.69,49.99,black,lace-ups,7.300000000000004
18,New Balance,67.95,84.95,grey,trainers,17.0
19,ONLY SHOES,34.99,34.99,white,trainers,0.0
20,Anna Field,50.99,59.99,beige,boots,9.0
21,Nike Sportswear,119.95,119.95,white/black,trainers,0.0
22,Copenhagen,134.95,179.95,white,trainers,45.0
23,Hummel,44.95,64.95,sharkskin,trainers,20.0
24,Anna Field,37.69,49.99,black,pumps,12.300000000000004
25,Converse,84.95,84.95,white/garnet/navy,trainers,0.0
26,Inselhauptstadt,30.99,132.99,weiß,slip-ons,102.00000000000001
27,Inselhauptstadt,24.99,104.99,blau,slip-ons,80.0
28,Skechers,69.95,69.95,white/silver,trainers,0.0
29,Carvela,80.0,135.0,white,sandals,55.0
30,ASICS SportStyle,99.95,99.95,white/midnight,trainers,0.0
31,adidas Originals,119.95,119.95,core black/footwear white/gold metallic,trainers,0.0
32,Nike Sportswear,94.95,94.95,pearl white/bio beige/summit white,trainers,0.0
33,Massimo Dutti,89.95,89.95,black,pumps,0.0
34,Anna Field,24.99,24.99,black,sandals,0.0
35,adidas Originals,109.95,109.95,core black/footwear white/grey three,trainers,0.0
36,Clarks,74.95,74.95,black,pumps,0.0
37,Gabor Comfort,89.95,89.95,black,heels,0.0
38,Inuovo,79.95,89.95,black blk,slip-ons,10.0
39,Puma,54.95,59.99,puma white,trainers,5.039999999999999
40,Beck,22.99,22.99,black,mixed,0.0
41,Vans,69.95,69.95,true white,mixed,0.0
42,Tamaris,59.95,59.95,black,slip-ons,0.0
43,Paez,34.93,49.9,beige,espadrilles,14.969999999999999
44,Pier One,29.99,29.99,white,trainers,0.0
45,Anna Field,29.89,34.99,light pink,sandals,5.100000000000001
46,Esprit,26.99,39.99,grey,pumps,13.000000000000004
47,Anna Field,35.99,39.99,dark blue,heels,4.0
48,Pier One,22.59,29.99,black,trainers,7.399999999999999
49,Veja,129.95,129.95,extra-white/black,trainers,0.0
50,Even&Odd Wide Fit,43.99,48.99,gold,sandals,5.0
51,Mols,49.9,69.9,schwarz,wellies,20.000000000000007
52,adidas Originals,93.95,109.95,carbon/footwear white/wonder beige,trainers,16.0
53,Puma,66.95,74.95,puma black puma team gold,trainers,8.0
54,Bershka,19.99,19.99,white,trainers,0.0
55,Anna Field,19.99,39.99,dark blue,wellies,20.000000000000004
56,adidas Originals,109.95,109.95,footwear white/arctic night/collegiate burgundy,trainers,0.0
57,Reebok Classic,89.95,89.95,chalk/porcelain pink,trainers,0.0
58,Nike Sportswear,111.95,159.95,white/bright crimson/black,trainers,47.999999999999986
59,adidas Originals,81.95,109.95,ftwr white/ftwr white/ftwr white,trainers,28.0
60,TOMS,54.95,54.95,black,slip-ons,0.0
61,Anna Field,27.99,27.99,gold,sandals,0.0
62,Anna Field,17.99,19.99,white,trainers,2.0
63,Jordan,139.95,139.95,sky frozen blue/ozone blue/sail,trainers,0.0
64,OYSHO,17.99,17.99,black,slides,0.0
65,Anna Field Wide Fit,49.99,49.99,black,pumps,0.0
66,ONLY SHOES,24.09,29.99,black,pumps,5.899999999999999
67,Anna Field,16.99,34.99,light blue,heels,18.000000000000004
68,Anna Field,26.99,29.99,black,pumps,3.0
69,Anna Field,59.49,69.99,cognac,lace-ups,10.499999999999993
70,Anna Field,34.99,34.99,black,sandals,0.0
71,Pier One,16.99,34.99,brown,lace-ups,18.000000000000004
72,Bershka,25.99,25.99,gold coloured,sandals,0.0
73,Tamaris,69.95,69.95,black patent,heels,0.0
74,ASICS SportStyle,109.95,109.95,white,trainers,0.0
75,Anna Field Wide Fit,46.99,54.99,black,pumps,8.0
76,Anna Field,26.99,29.99,mint,slip-ons,3.0
77,New Look,44.99,44.99,black,sandals,0.0
78,New Look,49.99,49.99,black,slip-ons,0.0
